login;password;phone_num;address;role;favorite_category
arid-crack;unsung-grotesque-boiling-impressionable-equal;(433)-450-8723;5609 Mate Alley, 30273, NY, USA;Buyer;Lawn & Garden
wary-engine;exalted-tedious-roasted-husband;(979)-776-0385;8128 Due Road, 41936, MO, USA;Buyer;Travel
happy-purpose;precious-chief-victorious-noisy-daughter;(559)-017-7808;3940 Delay Drive, 84952, MT, USA;Buyer;Antiques
babyish-play;wiggly-wise-wan-frightened-site;(831)-393-0904;5384 Tap Court, 65182, IN, USA;Buyer;Dining
dopey-nobody;vicious-this-delectable-search;(130)-132-3862;5118 Bowl Court, 38647, OR, USA;Seller;Lawn & Garden
academic-rest;ragged-limp-spicy-ultimate-doctor;(762)-196-4666;92 Blue Place, 35469, AL, USA;Buyer;Clothing
energetic-shot;peppery-exemplary-taut-state;(466)-994-7698;3532 Wake Drive, 15694, OK, USA;Seller;Handbags
affectionate-slice;occasional-strict-cloudy-rural-inevitable;(050)-276-2394;9486 Kiss Plaza, 75463, IL, USA;Buyer;Antiques
opulent-address;third-self-reliant-ruddy-instruction;(534)-643-4050;2096 Image Place, 93909, KY, USA;Buyer;Food & Gourmet Items
aware-attack;growling-critical-valid-plastic;(898)-627-9600;2885 Way Drive, 11860, NJ, USA;Buyer;Clothing
treasured-file;tired-elementary-colorless-fresh-wind;(398)-619-3862;2597 Rice Drive, 58920, WY, USA;Buyer;Tickets-Entertainment
medium-class;quintessential-big-messy-decimal-hello;(036)-147-6758;4885 Company Avenue, 49214, IL, USA;Seller;Spa & Beauty
pure-article;noted-unhealthy-unaware-function;(007)-245-1761;302 Solution Terrace, 15507, PA, USA;Buyer;CDs, DVDs, Games
adored-perspective;feminine-repentant-major-scented-debate;(251)-454-7787;6372 Outside Road, 23356, ID, USA;Buyer;Food & Gourmet Items
whirlwind-revenue;wan-previous-profitable-brother;(519)-533-7332;9269 Coat Drive, 73351, KY, USA;Buyer;Clothing
sympathetic-scale;yellow-aged-polite-quarterly-roll;(394)-454-9845;7844 Discipline Road, 43778, LA, USA;Buyer;Tickets-Entertainment
itchy-angle;mixed-defenseless-crafty-weird-habit;(943)-949-5387;6111 Volume Drive, 34363, WI, USA;Seller;Unique Experiences
delicious-criticism;rigid-sleepy-virtual-made-up-boat;(139)-537-7768;8112 Sample Boulevard, 60536, MN, USA;Seller;Computers
rusty-knowledge;puzzled-able-funny-oval-press;(310)-302-5216;4479 Marketing Alley, 5159, OK, USA;Buyer;CDs, DVDs, Games
treasured-familiar;lame-stiff-lean-pot;(081)-709-9517;6655 Second Place, 11997, WA, USA;Buyer;Travel
demanding-farmer;aching-married-extraneous-focus;(482)-701-7282;5215 Comparison Alley, 85687, FL, USA;Seller;Other
affectionate-smoke;acrobatic-dangerous-polished-peak;(787)-063-2366;3372 Door Terrace, 47255, SC, USA;Admin;Travel
demanding-conclusion;watchful-dreary-nervous-sick-club;(024)-822-9750;5090 Historian Route, 76346, ME, USA;Buyer;Computers
